sentiment,rank,token,count,percent_of_tokens
Negative,1,not,5409,2.2293
Negative,2,game,4843,1.9961
Negative,3,fuck,2360,0.9727
Negative,4,play,2064,0.8507
Negative,5,com,1903,0.7843
Negative,6,like,1652,0.6809
Negative,7,no,1550,0.6388
Negative,8,shit,1483,0.6112
Negative,9,fix,1437,0.5923
Negative,10,twitter,1316,0.5424
Negative,11,out,1287,0.5304
Negative,12,pic,1282,0.5284
Negative,13,real,1182,0.4872
Negative,14,please,1126,0.4641
Negative,15,time,1122,0.4624
Negative,16,still,1040,0.4286
Negative,17,one,1013,0.4175
Negative,18,even,994,0.4097
Negative,19,people,975,0.4019
Negative,20,make,930,0.3833
Negative,21,year,884,0.3643
Negative,22,unk,880,0.3627
Negative,23,fifa,871,0.359
Negative,24,work,822,0.3388
Negative,25,new,793,0.3268
Negative,26,server,784,0.3231
Negative,27,johnson,781,0.3219
Negative,28,call,754,0.3108
Negative,29,facebook,721,0.2972
Negative,30,only,711,0.293
Negative,31,bad,708,0.2918
Negative,32,going,701,0.2889
Negative,33,look,696,0.2869
Negative,34,know,688,0.2836
Negative,35,rhandlerr,680,0.2803
Negative,36,want,673,0.2774
Negative,37,back,666,0.2745
Negative,38,verizon,648,0.2671
Negative,39,player,631,0.2601
Negative,40,help,624,0.2572
Negative,41,every,616,0.2539
Negative,42,need,614,0.2531
Negative,43,home,614,0.2531
Negative,44,problem,592,0.244
Negative,45,microsoft,591,0.2436
Negative,46,good,587,0.2419
Negative,47,update,584,0.2407
Negative,48,never,577,0.2378
Negative,49,go,573,0.2362
Negative,50,try,558,0.23
Neutral,1,com,4187,1.9359
Neutral,2,not,2409,1.1138
Neutral,3,johnson,1893,0.8752
Neutral,4,game,1748,0.8082
Neutral,5,play,1519,0.7023
Neutral,6,amazon,1340,0.6196
Neutral,7,out,1211,0.5599
Neutral,8,facebook,971,0.4489
Neutral,9,like,958,0.4429
Neutral,10,new,883,0.4083
Neutral,11,google,883,0.4083
Neutral,12,one,867,0.4009
Neutral,13,unk,833,0.3851
Neutral,14,tv,803,0.3713
Neutral,15,microsoft,795,0.3676
Neutral,16,pic,777,0.3592
Neutral,17,twitter,766,0.3542
Neutral,18,time,737,0.3408
Neutral,19,dead,710,0.3283
Neutral,20,us,709,0.3278
Neutral,21,nvidia,696,0.3218
Neutral,22,watch,694,0.3209
Neutral,23,good,692,0.3199
Neutral,24,see,689,0.3186
Neutral,25,no,688,0.3181
Neutral,26,news,684,0.3163
Neutral,27,red,682,0.3153
Neutral,28,video,679,0.3139
Neutral,29,thank,652,0.3015
Neutral,30,people,643,0.2973
Neutral,31,xbox,627,0.2899
Neutral,32,twitch,619,0.2862
Neutral,33,best,612,0.283
Neutral,34,real,605,0.2797
Neutral,35,ps,586,0.2709
Neutral,36,look,585,0.2705
Neutral,37,great,567,0.2622
Neutral,38,co,553,0.2557
Neutral,39,love,548,0.2534
Neutral,40,go,539,0.2492
Neutral,41,world,531,0.2455
Neutral,42,home,504,0.233
Neutral,43,live,482,0.2229
Neutral,44,make,475,0.2196
Neutral,45,verizon,470,0.2173
Neutral,46,first,467,0.2159
Neutral,47,via,460,0.2127
Neutral,48,day,459,0.2122
Neutral,49,rhandlerr,458,0.2118
Neutral,50,work,456,0.2108
Positive,1,game,3157,1.6162
Positive,2,play,2490,1.2747
Positive,3,not,2479,1.2691
Positive,4,com,2057,1.0531
Positive,5,love,1798,0.9205
Positive,6,good,1558,0.7976
Positive,7,real,1448,0.7413
Positive,8,like,1356,0.6942
Positive,9,thank,1283,0.6568
Positive,10,pic,1257,0.6435
Positive,11,new,1192,0.6102
Positive,12,look,1159,0.5933
Positive,13,time,1125,0.5759
Positive,14,out,1113,0.5698
Positive,15,best,1099,0.5626
Positive,16,twitter,1078,0.5519
Positive,17,one,1053,0.5391
Positive,18,great,974,0.4986
Positive,19,fun,901,0.4613
Positive,20,wait,880,0.4505
Positive,21,see,798,0.4085
Positive,22,unk,776,0.3973
Positive,23,year,764,0.3911
Positive,24,ps,713,0.365
Positive,25,red,697,0.3568
Positive,26,excit,696,0.3563
Positive,27,fuck,690,0.3532
Positive,28,dead,685,0.3507
Positive,29,still,683,0.3497
Positive,30,much,671,0.3435
Positive,31,amaz,668,0.342
Positive,32,assassin,653,0.3343
Positive,33,cre,649,0.3322
Positive,34,back,644,0.3297
Positive,35,borderland,641,0.3282
Positive,36,go,614,0.3143
Positive,37,rhandlerr,606,0.3102
Positive,38,work,600,0.3072
Positive,39,xbox,591,0.3026
Positive,40,no,589,0.3015
Positive,41,want,583,0.2985
Positive,42,final,567,0.2903
Positive,43,stream,544,0.2785
Positive,44,today,543,0.278
Positive,45,redemption,533,0.2729
Positive,46,people,526,0.2693
Positive,47,happy,523,0.2677
Positive,48,going,521,0.2667
Positive,49,make,516,0.2642
Positive,50,day,513,0.2626
