sentiment,rank,token,mean_train_tfidf,token_id,idf
Negative,1,the,0.063723,2,1.926233
Negative,2,i,0.059219,3,2.094542
Negative,3,is,0.051264,9,2.545947
Negative,4,a,0.040813,6,2.381016
Negative,5,this,0.040037,12,2.728132
Negative,6,to,0.039176,4,2.220866
Negative,7,you,0.038714,13,3.024784
Negative,8,and,0.038342,5,2.286338
Negative,9,it,0.038085,8,2.638629
Negative,10,not,0.035614,16,2.951925
Negative,11,of,0.033891,7,2.543785
Negative,12,in,0.031544,10,2.673216
Negative,13,game,0.03105,18,3.200215
Negative,14,shit,0.029751,69,4.334295
Negative,15,fuck,0.029186,96,4.669405
Negative,16,that,0.028617,17,3.076678
Negative,17,my,0.028572,14,2.972829
Negative,18,unk,0.028194,60,4.20777
Negative,19,on,0.02538,15,2.930109
Negative,20,for,0.025098,11,2.708774
Neutral,1,the,0.065301,2,1.926233
Neutral,2,com,0.0522,19,3.052377
Neutral,3,i,0.044086,3,2.094542
Neutral,4,a,0.043865,6,2.381016
Neutral,5,of,0.043528,7,2.543785
Neutral,6,to,0.042147,4,2.220866
Neutral,7,and,0.037509,5,2.286338
Neutral,8,in,0.037382,10,2.673216
Neutral,9,johnson,0.033669,48,4.648669
Neutral,10,unk,0.031872,60,4.20777
Neutral,11,for,0.030952,11,2.708774
Neutral,12,it,0.029771,8,2.638629
Neutral,13,is,0.028826,9,2.545947
Neutral,14,you,0.026944,13,3.024784
Neutral,15,my,0.026511,14,2.972829
Neutral,16,on,0.02584,15,2.930109
Neutral,17,this,0.024452,12,2.728132
Neutral,18,just,0.021258,24,3.447312
Neutral,19,be,0.020751,23,3.419094
Neutral,20,with,0.020493,20,3.199339
Positive,1,i,0.077121,3,2.094542
Positive,2,the,0.06925,2,1.926233
Positive,3,this,0.045558,12,2.728132
Positive,4,to,0.043929,4,2.220866
Positive,5,is,0.043638,9,2.545947
Positive,6,a,0.039748,6,2.381016
Positive,7,it,0.039262,8,2.638629
Positive,8,and,0.038776,5,2.286338
Positive,9,of,0.037207,7,2.543785
Positive,10,unk,0.035555,60,4.20777
Positive,11,so,0.035023,22,3.318245
Positive,12,for,0.034828,11,2.708774
Positive,13,love,0.03359,64,4.235152
Positive,14,in,0.03355,10,2.673216
Positive,15,you,0.033129,13,3.024784
Positive,16,my,0.030327,14,2.972829
Positive,17,good,0.029989,55,4.10139
Positive,18,wow,0.029739,243,5.532381
Positive,19,that,0.025593,17,3.076678
Positive,20,nice,0.02542,232,5.45634
