experiment_id,epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,epoch_seconds
gru_hidden96_dropout02,1,1.0492223440325903,0.44125858845808347,0.43915603039051004,0.9892942153378298,0.5341037842737367,0.5326851198611249,6.43
gru_hidden96_dropout02,2,0.9192485948016336,0.5735997475054019,0.5717378978064357,0.8702762160148854,0.6232721504645365,0.614809375568817,7.57
gru_hidden96_dropout02,3,0.8174481103369262,0.6422345771929399,0.6389265260487172,0.8045158511301624,0.6598685701336959,0.6547695906168947,7.34
gru_hidden96_dropout02,4,0.7465847317865496,0.6818325281021632,0.678373659414545,0.7584949157796099,0.6926127351008384,0.6874150429835696,6.69
gru_hidden96_neutral_boost,1,1.0634628329754814,0.39425574789385515,0.3857371796810964,1.0155408916601971,0.4789259007477906,0.47090957531144134,6.9
gru_hidden96_neutral_boost,2,0.9674681347544459,0.5211828400786618,0.5194609036160158,0.9011285858523838,0.5944935418082937,0.5929404454607415,7.08
gru_hidden96_neutral_boost,3,0.8698907463953267,0.6003544635703707,0.5990600252498844,0.8374883732286786,0.6324495807840471,0.6302612282098123,6.92
gru_hidden96_neutral_boost,4,0.8081843013605867,0.6438369467576295,0.6422305760606518,0.7787104632993309,0.6699524133242692,0.6669865091879362,6.94
lstm_hidden64_dropout03,1,1.0799486218382321,0.40292311053922164,0.40267298827412246,1.0265659042261583,0.4835712667119873,0.4723059564090786,6.35
lstm_hidden64_dropout03,2,0.9692188682592967,0.537619267280099,0.5352860113705528,0.9018631818044383,0.600158622252436,0.593233956010205,6.56
lstm_hidden64_dropout03,3,0.8739542252142393,0.6109155357012794,0.6070363179604471,0.8390550725508136,0.6423068207568547,0.6352848796678404,6.46
lstm_hidden64_dropout03,4,0.8126624003513975,0.6494695185607808,0.6457042150022705,0.8093017503406466,0.6675730795377295,0.6584648566750366,6.53
